Source,Target,Attributes
"ROCCETTI, MARCO","SALOMONI, PAOLA",{'weight': 2.55}
"ROCCETTI, MARCO","CECCHERELLI, ANDREA",{'weight': 0.1}
"ROCCETTI, MARCO","CERVINI, CRISTIANA",{'weight': 0.1}
"ROCCETTI, MARCO","Valva, Antonella",{'weight': 0.05}
"SALOMONI, PAOLA","CECCHERELLI, ANDREA",{'weight': 0.1}
"SALOMONI, PAOLA","CERVINI, CRISTIANA",{'weight': 0.1}
"SALOMONI, PAOLA","Valva, Antonella",{'weight': 0.05}
"Valva, Antonella","CERVINI, CRISTIANA",{'weight': 0.05}
"Valva, Antonella","CECCHERELLI, ANDREA",{'weight': 0.05}
"CECCHERELLI, ANDREA","CERVINI, CRISTIANA",{'weight': 0.1}
